Date,Close
1/2/2014,58.21
1/3/2014,58.66
1/6/2014,59
1/7/2014,58.32
1/8/2014,58.87
1/9/2014,58.76
1/10/2014,58.49
1/13/2014,57.7
1/14/2014,57.74
1/15/2014,59.49
1/16/2014,58.99
1/17/2014,58.11
1/21/2014,58.17
1/22/2014,57.59
1/23/2014,56.47
1/24/2014,55.09
1/27/2014,55.09
1/28/2014,55.74
1/29/2014,55.53
1/30/2014,56
1/31/2014,55.36
2/3/2014,54.31
2/4/2014,54.95
2/5/2014,55.21
2/6/2014,56.48
2/7/2014,56.62
2/10/2014,56.74
2/11/2014,57.43
2/12/2014,57.52
2/13/2014,58.03
2/14/2014,58.15
2/18/2014,58.49
2/19/2014,57.26
2/20/2014,57.58
2/21/2014,57.61
2/24/2014,58.03
2/25/2014,57.03
2/26/2014,56.75
2/27/2014,56.69
2/28/2014,56.82
3/3/2014,56.21
3/4/2014,57.26
3/5/2014,58.16
3/6/2014,58.9
3/7/2014,59.4
3/10/2014,59.2
3/11/2014,58.19
3/12/2014,57.92
3/13/2014,57.42
3/14/2014,56.8
3/17/2014,57.58
3/18/2014,58.06
3/19/2014,58.3
3/20/2014,60.11
3/21/2014,60.17
3/24/2014,61.07
3/25/2014,60.93
3/26/2014,59.9
3/27/2014,59.92
3/28/2014,60.04
3/31/2014,60.71
4/1/2014,60.67
4/2/2014,60.48
4/3/2014,60.66
4/4/2014,59.81
4/7/2014,59
4/8/2014,58.85
4/9/2014,59.27
4/10/2014,57.4
4/11/2014,55.3
4/14/2014,54.96
4/15/2014,54.8
4/16/2014,55.26
4/17/2014,55.22
4/21/2014,55.03
4/22/2014,55.81
4/23/2014,56.05
4/24/2014,56.19
4/25/2014,55.7
4/28/2014,55.49
4/29/2014,56.1
4/30/2014,55.98
5/1/2014,55.72
5/2/2014,55.58
5/5/2014,54.22
5/6/2014,53.34
5/7/2014,54.05
5/8/2014,54.36
5/9/2014,54.01
5/12/2014,54.65
5/13/2014,54.62
5/14/2014,54.36
5/15/2014,53.51
5/16/2014,53.31
5/19/2014,53.83
5/20/2014,53.72
5/21/2014,54.12
5/22/2014,54.55
5/23/2014,54.53
5/27/2014,55.14
5/28/2014,55.45
5/29/2014,55.72
5/30/2014,55.57
6/2/2014,55.35
6/3/2014,55.6
6/4/2014,55.68
6/5/2014,56.63
6/6/2014,56.97
6/9/2014,57.42
6/10/2014,57.9
6/11/2014,57.27
6/12/2014,57.04
6/13/2014,57.04
6/16/2014,56.87
6/17/2014,57.42
6/18/2014,57.78
6/19/2014,57.3
6/20/2014,57.55
6/23/2014,58.19
6/24/2014,57.42
6/25/2014,57.53
6/26/2014,57.39
6/27/2014,57.53
6/30/2014,57.62
7/1/2014,57.57
7/2/2014,56.97
7/3/2014,57.05
7/7/2014,56.67
7/8/2014,55.76
7/9/2014,56.02
7/10/2014,55.56
7/11/2014,55.8
7/14/2014,56.29
7/15/2014,58.27
7/16/2014,58.71
7/17/2014,57.86
7/18/2014,58.23
7/21/2014,58.24
7/22/2014,58.67
7/23/2014,59
7/24/2014,59.17
7/25/2014,59.01
7/28/2014,59.19
7/29/2014,58.64
7/30/2014,58.91
7/31/2014,57.67
8/1/2014,56.48
8/4/2014,56.65
8/5/2014,56.06
8/6/2014,56.23
8/7/2014,55.91
8/8/2014,56.34
8/11/2014,56.32
8/12/2014,56.35
8/13/2014,56.72
8/14/2014,56.98
8/15/2014,56.75
8/18/2014,57.23
8/19/2014,57.56
8/20/2014,57.64
8/21/2014,58.5
8/22/2014,58.49
8/25/2014,59.34
8/26/2014,59.74
8/27/2014,59.59
8/28/2014,59.16
8/29/2014,59.45
9/2/2014,59.67
9/3/2014,59.7
9/4/2014,59.71
9/5/2014,59.91
9/8/2014,59.89
9/9/2014,59.06
9/10/2014,59.22
9/11/2014,59.76
9/12/2014,60.03
9/15/2014,59.94
9/16/2014,59.99
9/17/2014,60.31
9/18/2014,61.32
9/19/2014,61.11
9/22/2014,60.91
9/23/2014,60.94
9/24/2014,61.63
9/25/2014,60.15
9/26/2014,60.56
