Symbol,Date,Close
GOOG,8-Mar-21,"2,024.17"
GOOG,9-Mar-21,"2,052.70"
GOOG,10-Mar-21,"2,055.03"
GOOG,11-Mar-21,"2,114.77"
GOOG,12-Mar-21,"2,061.92"
GOOG,15-Mar-21,"2,066.49"
GOOG,16-Mar-21,"2,092.52"
GOOG,17-Mar-21,"2,091.08"
GOOG,18-Mar-21,"2,036.22"
GOOG,19-Mar-21,"2,043.20"
GOOG,22-Mar-21,"2,038.59"
GOOG,23-Mar-21,"2,052.96"
GOOG,24-Mar-21,"2,045.06"
GOOG,25-Mar-21,"2,044.36"
GOOG,26-Mar-21,"2,035.55"
GOOG,29-Mar-21,"2,055.95"
GOOG,30-Mar-21,"2,055.54"
GOOG,31-Mar-21,"2,068.63"
GOOG,1-Apr-21,"2,137.75"
GOOG,5-Apr-21,"2,225.55"
GOOG,6-Apr-21,"2,224.75"
GOOG,7-Apr-21,"2,249.68"
GOOG,8-Apr-21,"2,265.44"
GOOG,9-Apr-21,"2,285.88"
GOOG,12-Apr-21,"2,254.79"
GOOG,13-Apr-21,"2,267.27"
GOOG,14-Apr-21,"2,254.84"
GOOG,15-Apr-21,"2,296.66"
GOOG,16-Apr-21,"2,297.76"
GOOG,19-Apr-21,"2,302.40"
GOOG,20-Apr-21,"2,293.63"
GOOG,21-Apr-21,"2,293.29"
GOOG,22-Apr-21,"2,267.92"
GOOG,23-Apr-21,"2,315.30"
GOOG,26-Apr-21,"2,326.74"
GOOG,27-Apr-21,"2,307.12"
GOOG,28-Apr-21,"2,379.91"
GOOG,29-Apr-21,"2,429.89"
GOOG,30-Apr-21,"2,410.12"
GOOG,3-May-21,"2,395.17"
GOOG,4-May-21,"2,354.25"
GOOG,5-May-21,"2,356.74"
GOOG,6-May-21,"2,381.35"
GOOG,7-May-21,"2,398.69"
GOOG,10-May-21,"2,341.66"
GOOG,11-May-21,"2,308.76"
GOOG,12-May-21,"2,239.08"
GOOG,13-May-21,"2,261.97"
GOOG,14-May-21,"2,316.16"
GOOG,17-May-21,"2,321.41"
GOOG,18-May-21,"2,303.43"
GOOG,19-May-21,"2,308.71"
GOOG,20-May-21,"2,356.09"
GOOG,21-May-21,"2,345.10"
GOOG,24-May-21,"2,406.67"
GOOG,25-May-21,"2,409.07"
GOOG,26-May-21,"2,433.53"
GOOG,27-May-21,"2,402.51"
GOOG,28-May-21,"2,411.56"
GOOG,1-Jun-21,"2,429.81"
GOOG,2-Jun-21,"2,421.28"
GOOG,3-Jun-21,"2,404.61"
GOOG,4-Jun-21,"2,451.76"
GOOG,7-Jun-21,"2,466.09"
GOOG,8-Jun-21,"2,482.85"
GOOG,9-Jun-21,"2,491.40"
GOOG,10-Jun-21,"2,521.60"
GOOG,11-Jun-21,"2,513.93"
GOOG,14-Jun-21,"2,527.04"
GOOG,15-Jun-21,"2,520.66"
GOOG,16-Jun-21,"2,513.93"
GOOG,17-Jun-21,"2,527.42"
GOOG,18-Jun-21,"2,511.35"
GOOG,21-Jun-21,"2,529.10"
GOOG,22-Jun-21,"2,539.99"
GOOG,23-Jun-21,"2,529.23"
GOOG,24-Jun-21,"2,545.64"
GOOG,25-Jun-21,"2,539.90"
GOOG,28-Jun-21,"2,536.39"
GOOG,29-Jun-21,"2,520.37"
GOOG,30-Jun-21,"2,506.32"
GOOG,1-Jul-21,"2,527.37"
GOOG,2-Jul-21,"2,574.38"
GOOG,6-Jul-21,"2,595.42"
GOOG,7-Jul-21,"2,601.55"
GOOG,8-Jul-21,"2,583.54"
GOOG,9-Jul-21,"2,591.49"
GOOG,12-Jul-21,"2,611.28"
GOOG,13-Jul-21,"2,619.89"
GOOG,14-Jul-21,"2,641.65"
GOOG,15-Jul-21,"2,625.33"
GOOG,16-Jul-21,"2,636.91"
GOOG,19-Jul-21,"2,585.08"
GOOG,20-Jul-21,"2,622.03"
GOOG,21-Jul-21,"2,652.01"
GOOG,22-Jul-21,"2,666.57"
GOOG,23-Jul-21,"2,756.32"
GOOG,26-Jul-21,"2,792.89"
GOOG,27-Jul-21,"2,735.93"
GOOG,28-Jul-21,"2,727.63"
GOOG,29-Jul-21,"2,730.81"
GOOG,30-Jul-21,"2,704.42"
GOOG,2-Aug-21,"2,719.79"
GOOG,3-Aug-21,"2,725.60"
GOOG,4-Aug-21,"2,720.57"
GOOG,5-Aug-21,"2,738.80"
GOOG,6-Aug-21,"2,740.72"
GOOG,9-Aug-21,"2,760.04"
GOOG,10-Aug-21,"2,761.93"
GOOG,11-Aug-21,"2,753.79"
GOOG,12-Aug-21,"2,767.79"
GOOG,13-Aug-21,"2,768.12"
GOOG,16-Aug-21,"2,778.32"
GOOG,17-Aug-21,"2,746.01"
GOOG,18-Aug-21,"2,731.40"
GOOG,19-Aug-21,"2,738.27"
GOOG,20-Aug-21,"2,768.74"
GOOG,23-Aug-21,"2,821.99"
GOOG,24-Aug-21,"2,847.97"
GOOG,25-Aug-21,"2,859.00"
GOOG,26-Aug-21,"2,842.46"
GOOG,27-Aug-21,"2,891.01"
GOOG,30-Aug-21,"2,909.39"
GOOG,31-Aug-21,"2,909.24"
GOOG,1-Sep-21,"2,916.84"
GOOG,2-Sep-21,"2,884.38"
GOOG,3-Sep-21,"2,895.50"
GOOG,7-Sep-21,"2,910.38"
GOOG,8-Sep-21,"2,897.67"
GOOG,9-Sep-21,"2,898.27"
GOOG,10-Sep-21,"2,838.42"
GOOG,13-Sep-21,"2,869.30"
GOOG,14-Sep-21,"2,868.12"
GOOG,15-Sep-21,"2,904.12"
GOOG,16-Sep-21,"2,887.47"
GOOG,17-Sep-21,"2,829.27"
GOOG,20-Sep-21,"2,780.34"
GOOG,21-Sep-21,"2,792.93"
GOOG,22-Sep-21,"2,818.77"
GOOG,23-Sep-21,"2,836.53"
GOOG,24-Sep-21,"2,852.66"
GOOG,27-Sep-21,"2,830.02"
GOOG,28-Sep-21,"2,723.68"
GOOG,29-Sep-21,"2,690.42"
GOOG,30-Sep-21,"2,665.31"
GOOG,1-Oct-21,"2,729.25"
GOOG,4-Oct-21,"2,675.30"
GOOG,5-Oct-21,"2,723.54"
GOOG,6-Oct-21,"2,747.08"
GOOG,7-Oct-21,"2,783.71"
GOOG,8-Oct-21,"2,801.12"
GOOG,11-Oct-21,"2,776.95"
GOOG,12-Oct-21,"2,734.26"
GOOG,13-Oct-21,"2,758.00"
GOOG,14-Oct-21,"2,828.24"
GOOG,15-Oct-21,"2,833.50"
GOOG,18-Oct-21,"2,859.21"
GOOG,19-Oct-21,"2,876.44"
GOOG,20-Oct-21,"2,848.30"
GOOG,21-Oct-21,"2,855.61"
GOOG,22-Oct-21,"2,772.50"
GOOG,25-Oct-21,"2,775.46"
GOOG,26-Oct-21,"2,793.44"
GOOG,27-Oct-21,"2,928.55"
GOOG,28-Oct-21,"2,922.58"
GOOG,29-Oct-21,"2,965.41"
GOOG,1-Nov-21,"2,875.48"
GOOG,2-Nov-21,"2,917.26"
GOOG,3-Nov-21,"2,935.80"
GOOG,4-Nov-21,"2,973.66"
GOOG,5-Nov-21,"2,984.82"
GOOG,8-Nov-21,"2,987.03"
GOOG,9-Nov-21,"2,984.97"
GOOG,10-Nov-21,"2,932.52"
GOOG,11-Nov-21,"2,934.96"
GOOG,12-Nov-21,"2,992.91"
GOOG,15-Nov-21,"2,987.76"
GOOG,16-Nov-21,"2,981.52"
GOOG,17-Nov-21,"2,981.24"
GOOG,18-Nov-21,"3,014.18"
GOOG,19-Nov-21,"2,999.05"
GOOG,22-Nov-21,"2,941.57"
GOOG,23-Nov-21,"2,935.14"
GOOG,24-Nov-21,"2,934.35"
GOOG,26-Nov-21,"2,856.12"
GOOG,29-Nov-21,"2,922.28"
GOOG,30-Nov-21,"2,849.04"
GOOG,1-Dec-21,"2,832.36"
GOOG,2-Dec-21,"2,875.53"
GOOG,3-Dec-21,"2,850.41"
GOOG,6-Dec-21,"2,875.93"
GOOG,7-Dec-21,"2,960.73"
GOOG,8-Dec-21,"2,974.41"
GOOG,9-Dec-21,"2,962.12"
GOOG,10-Dec-21,"2,973.50"
GOOG,13-Dec-21,"2,934.09"
GOOG,14-Dec-21,"2,899.41"
GOOG,15-Dec-21,"2,947.37"
GOOG,16-Dec-21,"2,896.77"
GOOG,17-Dec-21,"2,856.06"
GOOG,20-Dec-21,"2,848.03"
GOOG,21-Dec-21,"2,884.41"
GOOG,22-Dec-21,"2,938.98"
GOOG,23-Dec-21,"2,942.85"
GOOG,27-Dec-21,"2,961.28"
GOOG,28-Dec-21,"2,928.96"
GOOG,29-Dec-21,"2,930.09"
GOOG,30-Dec-21,"2,920.05"
GOOG,31-Dec-21,"2,893.59"
GOOG,3-Jan-22,"2,901.49"
GOOG,4-Jan-22,"2,888.33"
GOOG,5-Jan-22,"2,753.07"
GOOG,6-Jan-22,"2,751.02"
GOOG,7-Jan-22,"2,740.09"
GOOG,10-Jan-22,"2,771.48"
GOOG,11-Jan-22,"2,800.35"
GOOG,12-Jan-22,"2,832.96"
GOOG,13-Jan-22,"2,782.62"
GOOG,14-Jan-22,"2,795.73"
GOOG,18-Jan-22,"2,725.81"
GOOG,19-Jan-22,"2,713.04"
GOOG,20-Jan-22,"2,670.13"
GOOG,21-Jan-22,"2,601.84"
GOOG,24-Jan-22,"2,607.44"
GOOG,25-Jan-22,"2,534.71"
GOOG,26-Jan-22,"2,584.80"
GOOG,27-Jan-22,"2,582.42"
GOOG,28-Jan-22,"2,665.79"
GOOG,31-Jan-22,"2,713.97"
GOOG,1-Feb-22,"2,757.57"
GOOG,2-Feb-22,"2,960.73"
GOOG,3-Feb-22,"2,853.01"
GOOG,4-Feb-22,"2,860.32"
GOOG,7-Feb-22,"2,778.76"
GOOG,8-Feb-22,"2,784.26"
GOOG,9-Feb-22,"2,829.06"
GOOG,10-Feb-22,"2,772.05"
GOOG,11-Feb-22,"2,682.60"
GOOG,14-Feb-22,"2,706.00"
GOOG,15-Feb-22,"2,728.51"
GOOG,16-Feb-22,"2,749.75"
GOOG,17-Feb-22,"2,646.17"
GOOG,18-Feb-22,"2,609.35"
GOOG,22-Feb-22,"2,588.05"
GOOG,23-Feb-22,"2,551.70"
GOOG,24-Feb-22,"2,653.47"
GOOG,25-Feb-22,"2,690.39"
GOOG,28-Feb-22,"2,697.82"
GOOG,1-Mar-22,"2,683.36"
GOOG,2-Mar-22,"2,695.03"
GOOG,3-Mar-22,"2,686.16"
GOOG,4-Mar-22,"2,642.44"
GOOG,7-Mar-22,"2,529.29"
